0,0,0.844828,0.666667,0.324781,0.5,1
1,1,0.068966,0.333333,0.42021,0.5,1
0,0,0.534483,0.333333,0.195144,0,0
0,0,0.465517,0.333333,0.496223,0.5,0.5
0,0,0.603448,0.333333,0.413842,0.5,0.5
0,0,0.293103,0.333333,0.398549,0,0
0,0,0.603448,0.333333,0.441129,0.5,0.5
0,0,0.293103,0.333333,0.576858,1,0.5
0,1,0.741379,0.666667,0.423201,0,0
0,1,0.172414,0.333333,0.507487,1,0
1,1,0.12069,0.333333,0.265552,0.5,0
1,1,0.103448,0.333333,0.335478,0.5,0
1,1,0.068966,0.333333,0.266349,0.5,1
0,0,0.724138,0.666667,0.195743,0,0
1,1,0.172414,0.333333,0.245189,0.5,0.5
1,1,0.241379,0.333333,0.192285,0,0
0,0,0.603448,0.333333,0.327998,0.5,0
0,0,0.12069,0,0.444562,0.5,1
1,1,0.448276,0.666667,0.826667,1,1
0,0,0.224138,0,0.397851,0.5,0.5
0,0,0.517241,0.333333,0.303237,0.5,0.5
0,0,0.448276,0.333333,0.408285,0.5,0.5
0,0,0.517241,0.333333,0.197315,0,0
0,0,0.448276,0.333333,0.362246,0.5,1
0,1,0.137931,0.333333,0.247997,0.5,1
0,0,0.310345,0.333333,0.131893,0,0
0,1,0.362069,0.333333,0.118567,0,0
1,1,0.413793,0.666667,0.465002,0.5,0.5
0,0,0.275862,0.333333,0.305175,0.5,0.5
0,0,0.775862,0.666667,0.512006,0.5,0
0,1,0.310345,0.333333,0.452649,0.5,0.5
0,0,0.155172,0,0.308187,0.5,0.5
0,0,0.206897,0,0.463979,0.5,1
0,0,0.672414,0.666667,0.189276,0,0
1,1,0.258621,0.333333,0.437744,1,0.5
0,0,0.12069,0,0.25106,0,0
0,0,0.224138,0,0.393201,0.5,1
0,0,0.327586,0.333333,0.335771,0.5,0.5
0,0,0.327586,0.333333,0.305061,0.5,0.5
0,0,0.103448,0,0.207325,0.5,0.5
0,0,0.206897,0,0.466114,1,0.5
0,1,0.137931,0.333333,0.347634,0.5,0
0,0,0.448276,0.333333,0.35764,0,0
0,1,0.103448,0.333333,0.436044,0.5,0.5
1,1,0.689655,0.666667,0.389362,0,0.5
1,1,0.293103,0.333333,0.374929,1,0.5
0,0,0.362069,0.333333,0.381491,0.5,0
1,1,0.086207,0.333333,0.108174,0,0
0,0,0.362069,0.333333,0.346095,0,0
1,1,0.172414,0.333333,0.318058,0.5,0
0,0,0.189655,0,0.178038,0,0
0,0,0.206897,0,0.527777,1,1
0,0,0.12069,0,0.205555,0.5,1
0,0,0.224138,0,0.297318,0.5,0
0,0,0.672414,0.666667,0.365581,0.5,0.5
0,0,0.137931,0,0.081987,0,0
0,0,0.586207,0.333333,0.609592,1,1
